FID,the_geom,code,timestamp,air_pressure,air_temperature,relative_humidity,precipitation,wind_speed,wind_direction,qc_flags
aws_10min.fid--18bb3085_18f8bd049eb_-6ecd,POINT (4.358 50.797),6447,2024-03-12T12:00:00,1003.04,9.63,82.73,0,,206.6,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ecc,POINT (4.358 50.797),6447,2024-03-12T12:10:00,1002.92,9.59,83.46,0,,207.4,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ecb,POINT (4.358 50.797),6447,2024-03-12T12:20:00,1002.97,9.46,83.7,0,,207,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6eca,POINT (4.358 50.797),6447,2024-03-12T12:30:00,1002.9,9.24,84.82,0,,209.1,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ec9,POINT (4.358 50.797),6447,2024-03-12T12:40:00,1002.88,9.23,86.39,0,,211.1,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ec8,POINT (4.358 50.797),6447,2024-03-12T12:50:00,1002.82,9.23,86.77,0,,207.9,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ec7,POINT (4.358 50.797),6447,2024-03-12T13:00:00,1002.8,9.17,88.24,0,,210.8,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ec6,POINT (4.358 50.797),6447,2024-03-12T13:10:00,1002.69,9.13,89.66,0.06,,201.4,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ec5,POINT (4.358 50.797),6447,2024-03-12T13:20:00,1002.68,9.15,89.76,0.06,,210.1,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ec4,POINT (4.358 50.797),6447,2024-03-12T13:30:00,1002.53,9.13,90.16,0.07,,198.5,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
