index,date_time,ch1_temperature,ch2_rh,dew_point
1,03/12/2024 13:06:16,16.63,60.400,8.95
2,03/12/2024 13:11:16,16.01,62.646,8.90
3,03/12/2024 13:16:16,15.70,64.258,8.99
4,03/12/2024 13:21:16,15.53,65.088,9.01
5,03/12/2024 13:26:16,15.41,65.771,9.05
6,03/12/2024 13:31:16,15.34,66.211,9.09
7,03/12/2024 13:36:16,15.27,66.406,9.06
8,03/12/2024 13:41:16,15.22,66.650,9.07
9,03/12/2024 13:46:16,15.20,66.821,9.09
10,03/12/2024 13:51:16,15.17,66.895,9.08
11,03/12/2024 13:56:16,15.15,67.065,9.10
12,03/12/2024 14:01:16,15.15,67.310,9.15
13,03/12/2024 14:06:16,15.15,67.310,9.15
14,03/12/2024 14:11:16,15.15,67.456,9.18
15,03/12/2024 14:16:16,15.15,67.578,9.21
16,03/12/2024 14:21:16,15.15,67.651,9.23
17,03/12/2024 14:26:16,15.17,67.749,9.27
18,03/12/2024 14:31:16,15.20,68.042,9.36
19,03/12/2024 14:36:16,15.20,67.847,9.32
20,03/12/2024 14:41:16,15.22,68.042,9.38
21,03/12/2024 14:46:16,15.22,67.969,9.36
22,03/12/2024 14:51:16,15.25,67.993,9.40
23,03/12/2024 14:56:16,15.27,68.066,9.43
24,03/12/2024 15:01:16,15.27,68.018,9.42
25,03/12/2024 15:06:16,15.27,67.944,9.40
26,03/12/2024 15:11:16,15.27,67.920,9.40
27,03/12/2024 15:16:16,15.29,67.773,9.39
28,03/12/2024 15:21:16,15.29,67.725,9.37
29,03/12/2024 15:26:16,15.29,67.627,9.35
30,03/12/2024 15:31:16,15.29,67.554,9.34
31,03/12/2024 15:36:16,15.29,67.505,9.33
32,03/12/2024 15:41:16,15.27,67.407,9.29
33,03/12/2024 15:46:16,15.29,67.310,9.28
34,03/12/2024 15:51:16,15.29,67.334,9.29
35,03/12/2024 15:56:16,15.29,67.261,9.27
36,03/12/2024 16:01:16,15.29,67.188,9.26
37,03/12/2024 16:06:16,15.27,67.163,9.23
38,03/12/2024 16:11:16,15.27,67.163,9.23
39,03/12/2024 16:16:16,15.29,67.163,9.25
40,03/12/2024 16:21:16,15.29,67.114,9.24
41,03/12/2024 16:26:16,15.27,67.163,9.23
42,03/12/2024 16:31:16,15.27,67.163,9.23
43,03/12/2024 16:36:16,15.27,67.114,9.22
44,03/12/2024 16:41:16,15.27,67.114,9.22
45,03/12/2024 16:46:16,15.27,67.114,9.22
46,03/12/2024 16:51:16,15.27,67.114,9.22
47,03/12/2024 16:56:16,15.27,67.114,9.22
48,03/12/2024 17:01:16,15.27,67.090,9.22
49,03/12/2024 17:06:16,15.25,67.065,9.19
50,03/12/2024 17:11:16,15.22,66.992,9.15
51,03/12/2024 17:16:16,15.22,66.968,9.14
52,03/12/2024 17:21:16,15.20,66.992,9.13
53,03/12/2024 17:26:16,15.17,67.041,9.11
54,03/12/2024 17:31:16,15.15,67.041,9.09
55,03/12/2024 17:36:16,15.13,67.041,9.07
56,03/12/2024 17:41:16,15.10,67.041,9.04
57,03/12/2024 17:46:16,15.08,67.090,9.03
58,03/12/2024 17:51:16,15.06,67.090,9.02
